id,title,category,sub_category,caption,location,pages,description,keywords,dateNormalized,date,medium,size,creator,collection,provenance
TMI00011,In the Pool,photographs,fine arts exhibit, ,"Grand Court, South West",,"""In the Pool,"" by Edward G. Sieber","artwork,painting,animals",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00012,In the Pasture,photographs,fine arts exhibit, ,"Grand Court, South West",,"""In the Pasture"" by Julien Dupre","artwork,painting,animals,people",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00013,Band Stand,photographs,midway,Band Stand,"East Midway, South East",,"Band stand on the Grand Plaza, looking southeast.","exterior,Wheeler,buildings",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00014,Band Stand,photographs,midway,Band Stand,"East Midway, South East",,"Band stand on the Grand Plaza, looking south. Gun tripods, musical instruments, and draped flag banner in foreground.","exterior,Wheeler,buildings",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00015,"Grand Court, Looking East",photographs,grand court,"Grand Court, Looking East.","Grand Court, South East",,"View of Manufactures and Machinery & Electricity Buildings, Grand Colonnade, Twin Towers Restaurants, Mines & Mining, Liberal Arts, and Fine Arts Buildings, looking southeast from Fountain of Neptune. Fountain turned off. Clothes draped on railing. Gondolas docked in lagoon.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00016,"Grand Court, Section",photographs,grand court,Section Grand Court.,"Grand Court, North West",,"Agriculture Building, Administration Arch, and section of Manufactures Building and portion of southwest colonnade, looking northwest. Lagoon visible. People walking.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00017,Transportation & Implement Bldgs.,photographs,transportation,Transportation & Implement Bldgs,"Transportation, Center",,Construction of the Transportation and Agricultural Implements Building. Two men and two horsedrawn carriages stand near the building. Two logs in the foreground.,,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00018,Portico - Illinois Building,photographs,bluff tract,Portico. Illinois Bldg.,"Bluff Tract, North East",,Portico of Illinois State Building. Man poses on front stairs. Wicker rocking chairs line the porch. Nebraska State Building visible the south.,,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00019,Court - Illinois Building,photographs,bluff tract,"Court, Ills. Bldg.","Bluff Tract, North East",,Detail of Illinois State Building. Colonnade leading to side building.,,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00020,"Midway, North Section",photographs,midway,North Section of Midway,"North Midway, North East",,"Construction of North Midway, looking west from Viaduct. Shooting the Chutes to the south. Pabst Building and Scenic railway to the north. ",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00021,Rotunda - Illinois Building,photographs,bluff tract,"Rotunda, Ills. Bldg","Bluff Tract, North East",,Interior of Illinois State Building. Man seated on floor of rotundra.,,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00022,Interior - Illinois Building,photographs,bluff tract,"Interior, Ill's. Bldg","Bluff Tract, North East",,Interior of Illinois State Building with tables and seating.,,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00023,Olive Oil Display,photographs,exhibits,,"Bluff Tract, South",,Interior of Horticulture Building. Los Angeles County California Olive Oil Display.,exhibit,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00024,"H. J. Woollacott of Los Angeles County, California, Display",photographs,exhibits,,"Bluff Tract, South",,"Interior of Horticulture Building. Los Angeles County, California Display.",exhibit,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00025,"Los Angeles County, California, Display",photographs,exhibits,,"Bluff Tract, South",,"Interior of Horticulture Building. Los Angeles County, California Exhibit.",exhibit,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00026,Southern California Co. Wine Display,photographs,bluff tract,,"Bluff Tract, South",,"Interior of Horticulture Building. Los Angeles County, Southern California Wine Company display.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00027,Produce Display,photographs,exhibits,,"Bluff Tract, South",,"Interior of Horticulture Building. Los Angeles County, California exhibit.",exhibit,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00028,Hub Gore Shoe Display,photographs,exhibits,,"Grand Court, North",,Interior of Manufactures Building. Hub Gore Shoe-Elastic display.,exhibit,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00029,Fountain of Neptune,photographs,grand court,Fountain of Neptune,"Grand Court, South West",,"Fine Arts Building, Southwest Colonnade, looking southeast. Fountain of Neptune turned on.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00030,"Grand Court, East End",photographs,grand court,East End Grand Court.,"Grand Court, East ",,East section of Grand Court. Northeast stairs leading to lagoon. Gondolas and swan boat in lagoon. Twin Restaurants visible behind Grand Colonnade.,,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00031,Northeast Section Grand Canal,photographs,grand court,N.E. Section Grand Canal,"Grand Court, North East",,"East portion of Lagoon. Gondolas and Swan Boat with passengers. Machinery & Electricity Building, Twin Tower Restaurants, and Colonnade visible to the northeast.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00032,"Grand Court, Section, from Government Building",photographs,grand court,Section Grand Court From Govt Bldg,"Grand Court, West",,Looking northeast from U.S. Government Building. West colonnade and Agriculture Building visible. Grand Colonnade and Twin Towers to the east. Mines & Mining Building behind double bridge with balustraded island. A few people walking. ,,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00033,Section of Grand Court,photographs,grand court,Section of Grand Court.,"Grand Court, East",,"One of Twin Towers Restaurants visible behind Grand Colonnade, looking southeast. A few people walking. ",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00034,"Grand Court, Section from Government Building",photographs,grand court,Section Grand Court From Govt Bldg,"Grand Court, North West",,"West Colonnade and Agriculture Building, looking north, next mirror section of lagoon. A few people walking and seated. Gondola docked in lagoon.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00035,Streets of All Nations,photographs,midway,Streets of All Nations,"North Midway, North West",,Two men pose at Streets of All Nations. Theater in background. One man wears a sombrero. Light crowd in background.,,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00036,"Missouri, Arkansas, Louisiana, Texas Display",photographs,exhibits,,"Grand Court, North West",,"Missouri, Arkansas, Louisiana, Texas display. Interior of Agriculture Building.",exhibit,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00037,Cotton Belt Route Display,photographs,exhibits,,"Grand Court, North West",,Cotton Belt Route display. Interior of Agriculture Building.,exhibit,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00038,Cotton Belt Route Display,photographs,exhibits,,"Grand Court, North West",,Cotton Belt Route display. Interior of Agriculture Building.,exhibit,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00039,"Fire on the Midway, 3 June, 1898.",photographs,midway,Fire on Midway June 3d '98,"North Midway, North West",,"North Midway looking east. Smoke from a building to the south. Cyclorama and Pabst Building to the north. Chinese Village, Haunted Swing, and Remember the Maine to the south. Smoke clouds the sky. Crowd gathered on street. Several men, a carriage, man pushing wheelchair, and women in costume with dog in foreground.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00040,"Grand Court, Looking West at Night",photographs,grand court,Grand Court: Looking West (Night),"Grand Court, West",,"Night view of lagoon looking southwest from stairs in front of Machinery & Electricity Building. Manufactures Building to the north, and U. S. Government Building at west end. Liberal Arts and Fine Arts Buildings visible to the south.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00041,Government Building,photographs,grand court,Government Building,"Grand Court, West",,"U.S. Government Building with crowd, looking northwest. Swan boat in lagoon. Fountain of Neptune turned on.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00042,Portico - Horticulture Building ,photographs,bluff tract,Horticulture Bldg: Portico,"Bluff Tract, South",,"Horticulture Building, looking south (slightly southeast). Two men and a child standing in foreground.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00043,Mines and Mining Building,photographs,grand court,Mines & Mining Bldg,"Grand Court, South East",,Mines and Mining Building looking southwest. Gondola in lagoon.,,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00044,Horticulture Building,photographs,exhibits,Horticulture Bldg,"Bluff Tract, South",,"Horticulture Building, looking south, and slightly east. Windows open. Three women and a man standing in foreground. Sign in tree bed reads ""Exhibited By Douglas County.""",exhibit,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00045,Twin Towers Restaurants,photographs,midway,Twin Restaurants,"East Midway, South West",,"Twin Towers Restaurants, looking northeast. Grand Colonnade to the west. Benches in foreground. Roof of Moorish Palace visible in background. Bandstand to the east.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00046,Center Facade - Horticulture Building,photographs,bluff tract,Horticulture Bldg: Center Facade,"Bluff Tract, South",,"Horticulture Building, looking south and slightly west. Lily pond and surrounding plantings in foreground.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00047,Manufactures Building,photographs,exhibits,Manufactures Bldg,"Grand Court, North",,Interior of Manufactures Building. Displays.,exhibit,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00048,Giant See-Saw,photographs,midway,Giant See-Saw,"North Midway, North East",,"North Midway, looking northeast. Light crowd walks by Idols of Art, Giant See-Saw, and Power House Building. ",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00049,Agriculture Building,photographs,exhibits,Agriculture Bldg.,"Grand Court, North West",,"Interior of Agriculture Building. Cotton Belt Route display in foreground. Iowa, Nebraska, and Minnesota displays in background.",exhibit,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00050,Illinois Building,photographs,bluff tract,Illinois Bldg,"Bluff Tract, North East",,"Illinois State Building, looking northeast. Two men ascend entrance stairs.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00051,"Grand Court, Bird's-eye View",photographs,grand court,Birds Eye View Grand Court,Grand Court,,"Bird's-eye view of Grand Court from behind Grand Colonnade, looking west. Swan boat in lagoon. ",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00052,State Buildings,photographs,bluff tract,State Buildings,"Bluff Tract, North",,"Birdseye view of Bluff Tract, looking southeast. Illinois and Nebraska State Buildings to the southeast. Horticulture Building to the south. Rooftop terrace of Twin Tower Restaurant with tables and chairs and Wisconsin State Building to the south. Large concession stand to northeast, and small stand to the southeast.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00053,"Grand Court, Bird's-eye View",photographs,grand court,Birds Eye View Grand Court,Grand Court,,"Bird's-eye view of Grand Court, looking west from behind Grand Colonnade. Gondolas docked in lagoon. ",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00054,Georgia Building,photographs,grand court,,"Grand Court, South West",,Georgia State Building. ,,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00055,"New York State Building, Under Construction",photographs,bluff tract,,"Bluff Tract, South East",,Construction of New York State Building. Workers on portico.,,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00056,Kansas Building,photographs,bluff tract,,"Bluff Tract, South East",,Kansas State Building. Three men seated on portico.,,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00057,Pure Silver Display,photographs,exhibits,,"Grand Court, South East",,Interior of Mines and Mining Building. Silver display.,exhibit,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00058,The Minuet,photographs,fine arts exhibit, ,"Grand Court, South West",,"""Minuet"" by Madeleine Lemaire","artwork,painting,people",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00059,Leaving the Desert,photographs,fine arts exhibit, ,"Grand Court, South West",,"""Leaving the Desert"" by Jean Baptiste Paul Lazerges","artwork,painting,animals,people",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00060,Rabbit Painting,photographs,fine arts exhibit, ,"Grand Court, South West",,"""Rabbit"" by George Pirie","artwork,painting,animals",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00061,Hens and Chickens,photographs,fine arts exhibit, ,"Grand Court, South West",,"""Hen and Chickens"" by George Pirie","artwork,painting,animals",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00062,"Fine Art Building, Section",photographs,exhibits,Fine Art Bldg: Section.,"Grand Court, South West",,"Interior of East Fine Arts Building, showing lobby. Framed artwork and statuary on display.",exhibit,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00063,U.S. Marine Band on Bandstand,photographs,midway,U.S. Marine Band.,"East Midway, South East",,"U.S. Marine Band seated on stage of Band Stand, in uniform and with intstruments.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00064,"Iowa Building, Under Construction",photographs,bluff tract,Iowa Bldg,"Bluff Tract, West",,"Construction of Iowa State Building, looking west. Trees in front. Two workers stand next to building. Montana State Building and Pottawattamie County Wigwam visible in background.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00065,Grand Colonnade,photographs,grand court,Grand Colonnade,"Grand Court, East",,"Twin Towers Restaurants from behind Grand Colonnade, looking southeast.",,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00066,Dressing the Baby,photographs,fine arts exhibit, ,"Grand Court, South West",,"""Dressing the Baby"" by Albert Neuhuys","artwork,painting,people,animals",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00067,Morning In the Woods,photographs,fine arts exhibit, ,"Grand Court, South West",,"""Morning in the Woods"" by W.R. Leigh","artwork,painting",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00068,The Last Moments,photographs,fine arts exhibit, ,"Grand Court, South West",,"""The Last Moments"" by Henry Mosler","artwork,painting,people",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00069,Transportation Building Interior,photographs,exhibits,Implements Bldg,"Transportation, Center",,Interior of Transportation and Agricultural Implements Building. Machinery on display. Three men pose in background.,exhibit,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00070,Blatz Beer Display,photographs,exhibits,,"Grand Court, North",,Manufactures Building Interior. Val Blatz Brewing Company display.,exhibit,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00071,Ladies' Wear -  Window Display,photographs,exhibits,,"Grand Court, North",,J. L. Brandeis & Sons Clothing display.,exhibit,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00072,Streets of All Nations,photographs,midway,Streets of All Nations,"North Midway, North West",,Streets of All Nations. View of Theater. Performers and spectators stand along building exteriors. ,,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00073,"St. Ives, Pray for Us",photographs,fine arts exhibit, ,"Grand Court, South West",,"""St. Ives, Priez Pour Nous (St. Ives, Pray for Us)"" by Sergeant Kendall","artwork,painting,people",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00074,The Vegetable Market,photographs,fine arts exhibit, ,"Grand Court, South West",,"""La Halle Aux Legumes (The Vegetable Market)"" by Victor Gabriel Gilbert","artwork,painting,people",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00075,An Awful Yarn,photographs,fine arts exhibit, ,"Grand Court, South West",,"""An Awful Yarn"" by J. G. Brown","artwork,painting,people,children",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00076,"Surrender of New Amsterdam, 1664",photographs,fine arts exhibit, ,"Grand Court, South West",,"""Surrender of New Amsterdam, 1664"" by Charles X. Harris","artwork,painting,people,animals",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00077,The Widow,photographs,fine arts exhibit, ,"Grand Court, South West",,"""The Widow"" by Ida Marie Perrault","artwork,painting,people,children",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00078,A Wordless Farewell,photographs,fine arts exhibit, ,"Grand Court, South West",,"""A Wordless Farewell"" by Richard Lorenz","artwork,painting,people,animals",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00079,After the Bath,photographs,fine arts exhibit, ,"Grand Court, South West",,"""After the Bath"" by J. H. Caliga","artwork,painting,people",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00080,Happy Baby,photographs,fine arts exhibit, ,"Grand Court, South West",,"""Happy Baby"" by Edward Ertz","artwork,painting,people,infants",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00081,Neptune,photographs,grand court, ,"Grand Court, South West",,"""Nepture"" by Perry","artwork,sculpture",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00082,Norman Bull,photographs,fine arts exhibit, ,"Grand Court, South West",,"""Norman Bull"" by William H. Howe","artwork,painting,animals",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00083,In the Harbor,photographs,fine arts exhibit, ,"Grand Court, South West",,"""Vue de Dordrecht"" by Eugene Boudin","artwork,painting",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00084,Rocks at Low Tide,photographs,fine arts exhibit, ,"Grand Court, South West",,"""Rocks at Low Tide"" by A. T. Bricher","artwork,painting",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00085,Souvenir De La Tomise,photographs,fine arts exhibit, ,"Grand Court, South West",,"""Souvenir De La Tomise"" by Paul Jean Clays","artwork,painting",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00086,A Levie at General Howe's Headquarters,photographs,fine arts exhibit, ,"Grand Court, South West",,"""A Levie at General Howe's Headquarters, Philadelphia, 1777"" by J.L.G. Ferris","artwork,painting,people",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00087,The Seine at Paris,photographs,fine arts exhibit, ,"Grand Court, South West",,"""Vue de Parie (The Seine at Paris)"" by Charles Lapostolet","artwork,painting,people,animals",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00088,The Coming Storm,photographs,fine arts exhibit, ,"Grand Court, South West",,"""The Coming Storm"" by L. M. Wiles","artwork,painting,people,animals",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00089,The Departure of the Mayflower,photographs,fine arts exhibit, ,"Grand Court, South West",,"""The Departure of the Mayflower"" by Birge Harrison","artwork,painting,people",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00090,The Miniature,photographs,fine arts exhibit, ,"Grand Court, South West",,"""The Miniature"" by W. Verplanck Birney","artwork,painting,people",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00091,Arabs Bathing Horses,photographs,fine arts exhibit, ,"Grand Court, South West",,"""Chevaux se Bargnant (Arabs Bathing Horses)"" by Huguet","artwork,painting,people,animals",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00092,Students on a Lark,photographs,fine arts exhibit, ,"Grand Court, South West",,"""Students on a Lark"" by Manuel Amell","artwork,painting,people",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00093,Autumn,photographs,fine arts exhibit, ,"Grand Court, South West",,"""Autumn"" by Child Hassam","artwork,painting,people",,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00094,Schlitz Beer Display,photographs,exhibits,,"Grand Court, North",,Manufactures Building interior. Schlitz Beer Display.,exhibit,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00095,Cafe - Streets of Cairo,photographs,midway,Cafe - Streets of Cairo,"East Midway, North West",,Performers pose in cafe at Streets of Cairo.,,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
TMI00096,Dancing Girls - Streets of Cairo,photographs,midway,Dancing Girls - Streets of Cairo,"East Midway, North West",,Streets of Cairo performers. Two women seated at table with hookah. Man and woman stand behind.,,,,Photograph,"approximately 8.6"" x 6.6""",F. A. Rinehart,Photographs by F. A. Rinehart,Omaha Public Library
